Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100001,Male,Yes,2,Not Graduate,No,6333,2531,120,360,1,Urban,N
LP100002,Female,Yes,0,Graduate,No,10000,0,70,180,1,Semiurban,N
LP100003,Male,No,0,Not Graduate,Yes,4191,2016,172,360,0,Rural,Y
LP100004,Male,No,0,Not Graduate,No,20667,1929,102,360,1,Rural,Y
LP100005,,Yes,1,Graduate,No,3418,2365,100,12,1,Semiurban,Y
LP100006,Male,Yes,0,Graduate,No,2000,0,246,360,nan,Urban,Y
LP100007,Male,No,0,Graduate,No,3086,189,80,360,0,Urban,Y
LP100008,Male,Yes,2,Graduate,No,2083,1330,160,360,1,Rural,Y
LP100009,Male,Yes,3+,Not Graduate,No,11417,0,480,360,1,Rural,Y
LP100010,Male,No,0,Graduate,,2833,2524,93,360,1,Rural,Y
LP100011,Male,No,0,Graduate,No,9963,0,150,360,1,Rural,Y
LP100012,Male,Yes,0,Graduate,No,3083,2118,181,180,1,Urban,Y
LP100013,Male,Yes,0,Graduate,Yes,6125,0,107,360,0,Urban,Y
LP100014,Male,No,0,Graduate,No,3200,16,60,360,1,Rural,N
LP100015,Female,No,0,Graduate,No,3583,4648,84,360,1,Urban,Y
LP100016,Male,No,0,Graduate,No,4583,0,330,360,nan,Semiurban,N
LP100017,Male,Yes,0,Not Graduate,No,5677,0,71,180,1,Rural,N
LP100018,Male,Yes,2,Graduate,No,4166,2569,175,360,1,Semiurban,Y
LP100019,Male,Yes,0,Graduate,Yes,4191,3428,84,360,1,Rural,N
LP100020,Male,No,2,Graduate,No,3813,2067,123,360,1,Semiurban,N
LP100021,Female,Yes,0,Graduate,No,3173,1280,105,360,1,Semiurban,Y
LP100022,Male,Yes,0,Graduate,,5391,0,180,360,1,Rural,N
LP100023,Female,No,0,Graduate,No,14583,0,186,360,0,Rural,N
LP100024,Female,Yes,0,Graduate,No,3400,1666,187,360,1,Semiurban,Y
LP100025,Female,No,3+,Graduate,No,2483,0,140,360,1,Semiurban,N
LP100026,Male,No,2,Graduate,No,11757,0,70,360,1,Semiurban,N
LP100027,Male,Yes,0,Graduate,No,3750,0,173,360,1,Rural,N
LP100028,Female,Yes,0,Not Graduate,No,1820,1619,81,360,1,Urban,Y
LP100029,Female,No,2,Graduate,Yes,4310,2253,168,360,0,Urban,Y
LP100030,Male,Yes,0,Graduate,No,1538,0,103,360,1,Rural,Y
LP100031,Male,Yes,3+,Graduate,,5391,0,400,360,1,Semiurban,Y
LP100032,Female,Yes,0,Graduate,No,9166,3053,167,360,1,Rural,Y
LP100033,Male,Yes,0,Graduate,No,5000,754,133,360,1,Rural,Y
LP100034,,Yes,0,Graduate,No,2330,2004,110,360,1,Urban,Y
LP100035,Male,Yes,0,Graduate,No,4923,0,133,360,1,Rural,N
LP100036,Male,Yes,1,Not Graduate,No,9323,0,131,360,1,Semiurban,Y
LP100037,Male,Yes,,Not Graduate,Yes,3358,3449,110,360,1,Rural,Y
LP100038,Female,Yes,0,Graduate,No,4300,0,70,360,0,Rural,N
LP100039,Male,Yes,0,Not Graduate,Yes,6608,0,60,480,1,Semiurban,Y
LP100040,Female,Yes,0,Graduate,No,16250,2504,94,360,1,Semiurban,N
LP100041,Female,No,0,Graduate,No,2333,1717,104,360,1,Semiurban,Y
LP100042,Female,No,2,Not Graduate,No,3992,3230,181,360,1,Rural,Y
LP100043,Male,No,0,Not Graduate,No,2346,3333,376,360,1,Semiurban,Y
LP100044,Male,Yes,0,Graduate,No,2699,3500,110,360,1,Urban,N
LP100045,Male,Yes,1,Graduate,No,4600,3021,84,360,1,Rural,Y
LP100046,Male,Yes,2,Graduate,No,2873,0,113,360,1,Urban,Y
LP100047,Male,Yes,0,Not Graduate,No,3029,2283,143,360,1,Semiurban,N
LP100048,Male,Yes,0,Not Graduate,No,4283,1398,105,360,0,Rural,Y
LP100049,Male,Yes,0,Graduate,Yes,6216,461,216,360,1,Semiurban,Y
LP100050,Female,No,2,Graduate,Yes,2400,0,121,84,1,Rural,Y
LP100051,Male,Yes,2,Graduate,No,5935,2232,84,480,1,Urban,Y
LP100052,Male,Yes,0,Graduate,No,2301,0,50,360,1,Rural,Y
LP100053,Male,Yes,1,Graduate,No,4750,1800,99,360,1,Rural,Y
LP100054,Male,Yes,0,Graduate,No,12000,0,96,180,1,Semiurban,N
LP100055,Male,No,1,Not Graduate,No,3813,7101,170,360,nan,Urban,Y
LP100056,Male,No,0,Graduate,Yes,4608,1783,125,180,nan,Rural,N
LP100057,Male,Yes,2,Graduate,No,6000,1664,128,360,1,Urban,Y
LP100058,Female,No,3+,Graduate,No,3762,1774,113,180,nan,Urban,Y
LP100059,Male,Yes,0,Not Graduate,No,5000,1843,228,180,1,Semiurban,Y
LP100060,Female,Yes,0,Graduate,No,23803,0,187,360,1,Rural,Y
LP100061,Male,Yes,0,Graduate,No,2653,0,124,360,1,Rural,Y
LP100062,Male,Yes,3+,Not Graduate,No,2400,0,150,360,0,Rural,N
LP100063,Male,Yes,0,Graduate,No,3180,2283,156,360,nan,Urban,Y
LP100064,Male,Yes,1,Graduate,No,2275,2383,186,360,1,Rural,Y
LP100065,Male,No,0,Graduate,No,3539,2358,98,nan,1,Rural,Y
LP100066,Male,Yes,0,Graduate,No,3273,0,180,360,1,Urban,Y
LP100067,Male,No,0,Graduate,,6033,0,292,360,1,Urban,N
LP100068,Female,Yes,0,Graduate,No,4180,16,110,360,1,Urban,N
LP100069,Female,Yes,0,Graduate,No,15000,1213,120,60,0,Rural,N
LP100070,Female,Yes,1,Graduate,Yes,2699,2087,201,360,1,Rural,N
LP100071,Male,No,2,Not Graduate,No,3691,754,141,360,1,Rural,Y
LP100072,Male,Yes,0,Graduate,No,1853,0,120,360,1,Urban,N
LP100073,Male,Yes,0,Graduate,No,4887,1964,162,360,1,Rural,N
LP100074,Male,No,2,Graduate,No,2726,1000,154,360,1,Urban,Y
LP100075,Male,Yes,0,Not Graduate,Yes,8333,0,230,360,0,Semiurban,Y
LP100076,Male,No,0,Graduate,Yes,4945,2541,128,360,0,Rural,Y
LP100077,Female,No,2,Graduate,No,3416,4750,160,360,1,Urban,N
LP100078,Male,Yes,0,Not Graduate,No,150,1425,700,180,1,Urban,N
LP100079,Male,Yes,0,Graduate,Yes,14880,0,144,360,1,Semiurban,Y
LP100080,Male,Yes,0,Not Graduate,No,3167,0,209,360,1,Urban,N
LP100081,Male,Yes,0,Graduate,No,9703,0,104,nan,1,Rural,Y
LP100082,Male,Yes,0,Not Graduate,Yes,2526,7210,145,360,1,Rural,Y
LP100083,Male,Yes,1,Not Graduate,No,4945,0,nan,480,0,Rural,N
LP100084,Male,No,0,Graduate,No,4583,4750,110,360,1,Semiurban,Y
LP100085,Male,Yes,0,Not Graduate,No,17500,2330,93,180,1,Rural,Y
LP100086,Male,Yes,0,Graduate,Yes,17263,0,162,360,1,Rural,N
LP100087,Male,No,2,Graduate,No,6540,0,55,180,1,Rural,N
LP100088,Male,Yes,2,Not Graduate,No,6406,1666,258,360,1,Semiurban,Y
LP100089,Male,No,1,Graduate,No,3510,2168,105,180,1,Semiurban,N
LP100090,Female,Yes,0,Graduate,No,3463,830,187,480,1,Urban,Y
LP100091,Male,Yes,2,Not Graduate,No,1600,1811,100,360,1,Urban,Y
LP100092,Male,Yes,0,Graduate,No,3993,0,234,360,1,Rural,N
LP100093,Male,Yes,0,Not Graduate,No,3155,0,100,360,1,Semiurban,Y
LP100094,Male,Yes,0,Graduate,No,4354,0,144,360,1,Urban,Y
LP100095,Male,No,0,Graduate,No,2378,2569,230,360,1,Urban,Y
